game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_08_LV_DET,2023,8,REG,DET,LV,26.0,14.0,1,0,3.0,0.42857142857142855,1.0,0.1111111111111111,-2.0
2023_09_TEN_PIT,2023,9,REG,PIT,TEN,20.0,16.0,1,0,0.0,0.5,1.0,0.23076923076923078,1.0
2023_09_MIA_KC,2023,9,REG,KC,MIA,21.0,14.0,1,0,1.0,0.3,1.0,0.25,0.0
2023_09_MIN_ATL,2023,9,REG,ATL,MIN,28.0,31.0,0,0,2.0,0.5555555555555556,2.0,0.4375,0.0
2023_09_SEA_BAL,2023,9,REG,BAL,SEA,37.0,3.0,1,0,2.0,0.46153846153846156,2.0,0.08333333333333333,0.0
2023_09_ARI_CLE,2023,9,REG,CLE,ARI,27.0,0.0,1,0,0.0,0.35294117647058826,3.0,0.08333333333333333,3.0
2023_09_LA_GB,2023,9,REG,GB,LA,20.0,3.0,1,0,2.0,0.5,2.0,0.35714285714285715,0.0
2023_09_TB_HOU,2023,9,REG,HOU,TB,39.0,37.0,1,0,1.0,0.2727272727272727,1.0,0.23076923076923078,0.0
2023_09_WAS_NE,2023,9,REG,NE,WAS,17.0,20.0,0,0,1.0,0.25,2.0,0.5294117647058824,1.0
2023_09_CHI_NO,2023,9,REG,NO,CHI,24.0,17.0,1,0,0.0,0.5,5.0,0.5,5.0
2023_09_IND_CAR,2023,9,REG,CAR,IND,13.0,27.0,0,0,4.0,0.4375,0.0,0.3076923076923077,-4.0
2023_09_NYG_LV,2023,9,REG,LV,NYG,30.0,6.0,1,0,0.0,0.35714285714285715,2.0,0.25,2.0
2023_09_DAL_PHI,2023,9,REG,PHI,DAL,28.0,23.0,1,0,0.0,0.5,1.0,0.4,1.0
2023_09_BUF_CIN,2023,9,REG,CIN,BUF,24.0,18.0,1,0,0.0,0.5333333333333333,2.0,0.5833333333333334,2.0
2023_09_LAC_NYJ,2023,9,REG,NYJ,LAC,6.0,27.0,0,0,3.0,0.17647058823529413,0.0,0.4375,-3.0
2023_10_CAR_CHI,2023,10,REG,CHI,CAR,16.0,13.0,1,0,0.0,0.4,0.0,0.2,0.0
2023_10_IND_NE,2023,10,REG,NE,IND,6.0,10.0,0,0,2.0,0.42857142857142855,1.0,0.38461538461538464,-1.0
2023_10_CLE_BAL,2023,10,REG,BAL,CLE,31.0,33.0,0,0,3.0,0.25,1.0,0.5,-2.0
2023_10_HOU_CIN,2023,10,REG,CIN,HOU,27.0,30.0,0,0,2.0,0.42857142857142855,3.0,0.3076923076923077,1.0
2023_10_SF_JAX,2023,10,REG,JAX,SF,3.0,34.0,0,0,4.0,0.3333333333333333,0.0,0.3333333333333333,-4.0
2023_10_NO_MIN,2023,10,REG,MIN,NO,27.0,19.0,1,0,0.0,0.4,2.0,0.2857142857142857,2.0
2023_10_GB_PIT,2023,10,REG,PIT,GB,23.0,19.0,1,0,0.0,0.3076923076923077,2.0,0.5,2.0
2023_10_TEN_TB,2023,10,REG,TB,TEN,20.0,6.0,1,0,1.0,0.4666666666666667,1.0,0.4,0.0
2023_10_ATL_ARI,2023,10,REG,ARI,ATL,25.0,23.0,1,0,1.0,0.2727272727272727,0.0,0.5,-1.0
2023_10_DET_LAC,2023,10,REG,LAC,DET,38.0,41.0,0,0,1.0,0.5,0.0,0.3076923076923077,-1.0
2023_10_NYG_DAL,2023,10,REG,DAL,NYG,49.0,17.0,1,0,2.0,0.5,1.0,0.0,-1.0
2023_10_WAS_SEA,2023,10,REG,SEA,WAS,29.0,26.0,1,0,0.0,0.2857142857142857,1.0,0.4666666666666667,1.0
2023_10_NYJ_LV,2023,10,REG,LV,NYJ,16.0,12.0,1,0,2.0,0.3333333333333333,1.0,0.4375,-1.0
2023_10_DEN_BUF,2023,10,REG,BUF,DEN,22.0,24.0,0,0,4.0,0.375,1.0,0.42105263157894735,-3.0
2023_11_CIN_BAL,2023,11,REG,BAL,CIN,34.0,20.0,1,0,0.0,0.5,0.0,0.18181818181818182,0.0
2023_11_DAL_CAR,2023,11,REG,CAR,DAL,10.0,33.0,0,0,2.0,0.3333333333333333,0.0,0.4375,-2.0
2023_11_PIT_CLE,2023,11,REG,CLE,PIT,13.0,10.0,1,0,1.0,0.23529411764705882,0.0,0.21428571428571427,-1.0
2023_11_CHI_DET,2023,11,REG,DET,CHI,31.0,26.0,1,0,4.0,0.7272727272727273,1.0,0.38461538461538464,-3.0
2023_11_LAC_GB,2023,11,REG,GB,LAC,23.0,20.0,1,0,0.0,0.5,1.0,0.5,1.0
2023_11_ARI_HOU,2023,11,REG,HOU,ARI,21.0,16.0,1,0,4.0,0.6923076923076923,1.0,0.3,-3.0
2023_11_TEN_JAX,2023,11,REG,JAX,TEN,34.0,14.0,1,0,1.0,0.3333333333333333,1.0,0.2857142857142857,0.0
2023_11_LV_MIA,2023,11,REG,MIA,LV,20.0,13.0,1,0,3.0,0.2727272727272727,3.0,0.2857142857142857,0.0
2023_11_NYG_WAS,2023,11,REG,WAS,NYG,19.0,31.0,0,0,6.0,0.38461538461538464,0.0,0.35714285714285715,-6.0
